type,category,word,n,,,
informational,format,buffet,4185,,,
informational,format,express,4008,,,
informational,format,wok,3790,,,
informational,format,kitchen,2548,,,
informational,format,house,2479,,,
informational,format,cafe,1240,,,
informational,format,chef,712,,,
informational,format,gourmet,712,,,
informational,format,bistro,565,,,
informational,format,grill,490,,,
informational,format,inn,486,,,
informational,format,super,461,,,
informational,food,wok,3790,,,
informational,food,rice,496,,,
informational,food,noodle,433,,,
informational,food,hot,367,,,
informational,food,yummy,352,,,
informational,food,roll,278,,,
informational,food,bbq,277,,,
informational,food,seafood,262,,,
informational,food,hibachi,239,,,
informational,food,tasty,230,,,
informational,food,bao,204,,,
informational,food,chopsticks,200,,,
conceptual,cultural symbols,panda,3003,,,
conceptual,cultural symbols,dragon,1832,,,
conceptual,cultural symbols,golden,1807,,,
conceptual,cultural symbols,star,956,,,
conceptual,cultural symbols,happy,738,,,
conceptual,cultural symbols,lucky,606,,,
conceptual,cultural symbols,jade,541,,,
conceptual,cultural symbols,ming,443,,,
conceptual,cultural symbols,fortune,438,,,
conceptual,cultural symbols,moon,416,,,
conceptual,cultural symbols,oriental,396,,,
conceptual,cultural symbols,grand,350,,,
conceptual,nature,garden,3761,,,
conceptual,nature,panda,3003,,,
conceptual,nature,dragon,1832,,,
conceptual,nature,golden,1807,,,
conceptual,nature,star,956,,,
conceptual,nature,jade,541,,,
conceptual,nature,moon,416,,,
conceptual,nature,bamboo,409,,,
conceptual,nature,sun,279,,,
conceptual,nature,lotus,168,,,
conceptual,nature,pearl,159,,,
conceptual,nature,ocean,149,,,
indexical,romanized,chen,383,,,
indexical,romanized,sun,279,,,
indexical,romanized,chow,131,,,
indexical,romanized,ling,100,,,
indexical,romanized,kung,88,,,
indexical,romanized,chung,67,,,
indexical,romanized,tung,58,,,
indexical,romanized,liang,44,,,
indexical,romanized,hung,35,,,
indexical,romanized,peng,24,,,
indexical,romanized,shen,17,,,
indexical,romanized,gao,14,,,
indexical,names,lee,424,,,
indexical,names,chen,383,,,
indexical,names,wong,302,,,
indexical,names,lin,275,,,
indexical,names,chang,261,,,
indexical,names,chan,179,,,
indexical,names,wang,148,,,
indexical,names,chow,131,,,
indexical,names,yang,107,,,
indexical,names,ling,100,,,
indexical,names,master,94,,,
indexical,names,kam,92,,,
