"category","term","estimate","p.value","odds_ratio"
"places","(Intercept)",-1.29380106915975,4.70788357533772e-292,0.274226445861976
"places","log_pct_chinese",-0.297299457934995,2.7591420523401e-278,0.742821535249319
"places","locale_groupSuburban",0.114162764288786,9.15155350589685e-10,1.12093455815307
"places","locale_groupTown",0.0875142493380938,0.00826169054992719,1.09145781688359
"places","locale_groupRural",-0.00779107487584435,0.847866743884347,0.992239196880494
"symbols","(Intercept)",-1.58626081145791,1.77863632502849e-322,0.204689555419695
"symbols","log_pct_chinese",-0.0915580677122741,1.97449107451086e-21,0.912508327342557
"symbols","locale_groupSuburban",0.0998946795358733,3.68826674819002e-06,1.1050545270909
"symbols","locale_groupTown",-0.0327603793147553,0.383597023171813,0.967770429621
"symbols","locale_groupRural",-0.0604041435703099,0.192526252549367,0.941384002403049
"names","(Intercept)",-1.86054693394874,6.65966386453378e-198,0.155587511001017
"names","log_pct_chinese",0.162394141203274,4.0499530987495e-26,1.17632378763675
"names","locale_groupSuburban",-0.0526263391709327,0.14117271099572,0.948734451159834
"names","locale_groupTown",-0.067685520980194,0.322313233408155,0.934554325097835
"names","locale_groupRural",-0.137478497842929,0.114353720929532,0.871553090067119
"nature","(Intercept)",-1.58688358820768,2.96439387504748e-323,0.204562119209932
"nature","log_pct_chinese",-0.0876668619083307,8.03572632710714e-20,0.91606600237589
"nature","locale_groupSuburban",0.114300673218235,1.2726542963581e-07,1.12108915569792
"nature","locale_groupTown",0.0933902859423155,0.0116225727655078,1.09789014275086
"nature","locale_groupRural",0.11495350334872,0.0107778877539005,1.12182127542662
"food","(Intercept)",-0.945408292355427,7.74866136427533e-105,0.388520908396791
"food","log_pct_chinese",0.141533428895787,1.29805178710719e-40,1.15203901500929
"food","locale_groupSuburban",-0.0195386534634929,0.420555065225339,0.980650988898868
"food","locale_groupTown",-0.382784108772858,9.88715934260081e-15,0.681960112599958
"food","locale_groupRural",-0.314315620943521,2.09456628447615e-07,0.730288497436573
"format","(Intercept)",-1.03393538459033,1.66650144665126e-182,0.355604761783313
"format","log_pct_chinese",-0.135226360395201,4.30790189028543e-58,0.87351815939146
"format","locale_groupSuburban",0.036434549684832,0.0544127985554679,1.03710642285411
"format","locale_groupTown",-0.107577342029452,0.00113454623219078,0.898007066075936
"format","locale_groupRural",-0.323237519405918,5.87238371984832e-15,0.723801916948171
